waypoint1	waypoint2	distance_m	duration_s
Euston Rd, London N19 AL, United Kingdom	Strand, London WC2R 1LA, United Kingdom	2752	886
24-26 Leicester Square, London WC2H 7LQ, United Kingdom	Strand, London WC2R 1LA, United Kingdom	889	525
Strand, London WC2R 1LA, United Kingdom	London SW1A 2BJ, United Kingdom	1507	801
Great Russell St, London WC1B 3DG, United Kingdom	Trafalgar Square, London WC2N 5DN, United Kingdom	1326	1001
Euston Rd, London N19 AL, United Kingdom	24-26 Leicester Square, London WC2H 7LQ, United Kingdom	2045	589
Trafalgar Square, London WC2N 5DN, United Kingdom	London SW1A 2BJ, United Kingdom	920	618
24-26 Leicester Square, London WC2H 7LQ, United Kingdom	London SW1A 2BJ, United Kingdom	1345	913
Euston Rd, London N19 AL, United Kingdom	Trafalgar Square, London WC2N 5DN, United Kingdom	2519	759
Trafalgar Square, London WC2N 5DN, United Kingdom	Strand, London WC2R 1LA, United Kingdom	906	511
Great Russell St, London WC1B 3DG, United Kingdom	London SW1A 2BJ, United Kingdom	2257	1469
Great Russell St, London WC1B 3DG, United Kingdom	24-26 Leicester Square, London WC2H 7LQ, United Kingdom	1124	810
Great Russell St, London WC1B 3DG, United Kingdom	Euston Rd, London N19 AL, United Kingdom	1593	770
Trafalgar Square, London WC2N 5DN, United Kingdom	24-26 Leicester Square, London WC2H 7LQ, United Kingdom	236	237
Euston Rd, London N19 AL, United Kingdom	London SW1A 2BJ, United Kingdom	3547	1241
Great Russell St, London WC1B 3DG, United Kingdom	Strand, London WC2R 1LA, United Kingdom	1522	763
